code_iso2,nom,continent,region,population,superficie_km2,cote_maritime,pays_enclavé,ile,nombre_voisins,langue_principale,nombre_langues_officielles,monnaie,ue,hemisphere,climat_dominant,drapeau_couleurs,drapeau_multicolore,drapeau_elements,religion_principale,indice
AF,Afghanistan,Asie,Asie du Sud / Asie centrale,"43,4 M",652230,False,True,False,6,Dari/Pachtou,2,Afghani,False,Nord,aride,"noir,rouge,vert",True,"armoiries,mosquée",Islam,"Là où le Bouddha de Bamiyan veillait depuis 1 500 ans, au carrefour des empires"
AL,Albanie,Europe,Europe du Sud / Europe de l'Est,"2,8 M",28748,False,True,False,4,Albanais,1,Lek,False,Nord,méditerranéen,"rouge,noir",False,aigle,Islam,L'aigle bicéphale sur fond rouge sang : ce drapeau est identique à celui d'un personnage historique légendaire
DZ,Algérie,Afrique,Afrique du Nord,"46,2 M",2381741,True,False,False,6,Arabe,2,Dinar algérien,False,Nord,aride,"vert,blanc,rouge",True,"croissant,étoile",Islam,"Le plus grand pays d'Afrique depuis 2011, entre mer bleue et sable infini"
AD,Andorre,Europe,Europe du Sud,77 K,468,True,False,False,2,Catalan,1,Euro,False,Nord,montagnard,"bleu,jaune,rouge",True,armoiries,Christianisme (catholicisme),"Entre deux géants pyrénéens, ce micro-État vit de ski et de shopping hors taxes"
AO,Angola,Afrique,Afrique centrale,"36,7 M",1246700,True,False,False,4,Portugais,1,Kwanza,False,Nord,tropical,"rouge,noir",False,"machette,étoile,roue",Christianisme,"L'un des plus grands producteurs de pétrole d'Afrique subsaharienne, aux plages quasi-désertes"
AG,Antigua-et-Barbuda,Amériques,Caraïbes,94 K,442,True,False,True,0,Anglais,1,Dollar des Caraïbes orientales,False,Nord,tropical,"rouge,noir,blanc,jaune",True,soleil,Christianisme,"Une plage pour chaque jour de l'année, à condition d'être bon en calcul"
AR,Argentine,Amériques,Amérique du Sud,"46,0 M",2780400,True,False,False,5,Espagnol,1,Peso argentin,False,Nord,tempéré,"bleu,blanc",False,soleil,Christianisme (catholicisme),"Patrie du tango, du malbec et d'un certain numéro 10 au maillot rayé bleu et blanc"
AM,Arménie,Europe,Asie de l'Ouest / Caucase,"3,0 M",29743,False,True,False,4,Arménien,1,Dram,False,Nord,continental,"rouge,bleu,orange",True,aucun,Christianisme (orthodoxe),"La plus ancienne nation chrétienne du monde, premier pays à avoir adopté cette religion en 301"
AU,Australie,Océanie,Océanie,"26,5 M",7692024,True,False,True,0,Anglais,1,Dollar australien,False,Sud,aride,"bleu,rouge,blanc",True,"Union Jack,étoiles",Multireligion,Le continent-pays où les animaux venimeux ont décidé de tout coloniser sans exception
AT,Autriche,Europe,Europe centrale,"9,1 M",83871,False,True,False,8,Allemand,1,Euro,True,Nord,tempéré,"rouge,blanc",False,aucun,Christianisme (catholicisme),"La patrie de Mozart, de Freud et de la valse — mais aussi du ski alpin"
AZ,Azerbaïdjan,Europe,Asie de l'Ouest / Caucase,"10,3 M",86600,False,True,False,5,Azerbaïdjanais,1,Manat,False,Nord,continental,"bleu,rouge,vert",True,"croissant,étoile",Islam,"La 'Terre de feu', dont les flammes naturelles ont inspiré une religion antique"
BS,Bahamas,Amériques,Caraïbes,400 K,13943,True,False,True,0,Anglais,1,Dollar des Bahamas,False,Nord,tropical,"bleu,jaune,noir",True,triangle,Christianisme,"L'archipel atlantique aux eaux les plus turquoise du monde, favori des croisières et des pirates d'autrefois"
BH,Bahreïn,Asie,Asie de l'Ouest,"1,5 M",765,True,False,False,1,Arabe,1,Dinar bahreïnien,False,Nord,aride,"rouge,blanc",False,dentelé,Islam,La petite île-État qui accueille le Grand Prix de Formule 1 depuis 2004 dans le Golfe
BD,Bangladesh,Asie,Asie du Sud,"172,9 M",147570,True,False,False,3,Bengali,1,Taka,False,Nord,tropical,"vert,rouge",False,disque,Islam,"170 millions d'habitants sur un delta de fleuves, champion mondial de la densité de population"
BB,Barbade,Amériques,Caraïbes,282 K,430,True,False,True,0,Anglais,1,Dollar de la Barbade,False,Nord,tropical,"bleu,jaune",False,trident,Christianisme,"L'île natale de Rihanna, championne mondiale du rhum et du cricket"
